Model,Tuning Time (s),Best CV F1-Score,Test F1-Score,Test Recall,Test Precision,Test ROC-AUC,Test Accuracy
SVM + Grid Search,787.3397381305695,0.7378844761384515,0.7499339846844468,0.8092320843424989,0.6987329314798868,0.8068438475298426,0.7301802122658309
SVM + PSO,4662.548079490662,0.7409706429633065,0.7433616390349104,0.7857244621740989,0.7053331628085433,0.8025721190630722,0.7287556093738871
